thanh_ngu_tieng_trung,phien_am,am_han_viet,ket_cau_hinh_thuc,ket_cau_ngu_phap,sac_thai_bieu_cam,chu_de,cach_dung,nghia,vi_du_tieng_trung,vi_du_tieng_viet,tu_can_nghia,tu_trai_nghia,nguon_goc_thanh_ngu,cau_chuyen_thanh_ngu
大而无当,dà ér wú dàng, đại nhi vô đáng,,Chính phụ,Tiêu cực,Thành ngữ về tính sai trái,"Dùng làm vị ngữ, định ngữ; mang nghĩa chê bai","当：đáy. Tuy lớn nhưng không có đáy.
Ban đầu chỉ sự rộng lớn vô biên, về sau thường dùng để chỉ cái gì đó quá to nhưng không thực tế, không phù hợp.",订计划要切合实际，不要大而无当。,"Lập kế hoạch phải sát với thực tế, đừng làm mọi thứ to tát mà vô dụng.",硕大无朋、庞然大物、华而不实,,"《Trang Tử · Tiêu Dao Du》:
“Kiên Ngô hỏi Luyến Thúc rằng: ‘Ta nghe lời của Tiếp Ngư, lớn mà không có đối, đi rồi không quay lại, ta kinh sợ lời ấy, như sông Ngân Hà mà không có bờ bến vậy.’”",
大肆厥辞,dà sì jué cí,đại tứ quyết từ,,Chính phụ,Tiêu cực,Thành ngữ về cách giao tiếp,"Dùng làm vị ngữ, tân ngữ; chỉ việc phát biểu ý kiến một cách mạnh mẽ, không kiêng dè","大肆：không chút kiêng nể. 厥：của anh ta, của người đó.
Chỉ việc phô trương từ ngữ, thi thố tài văn chương.",,,大放厥词、大发议论、夸夸其谈,,"Minh · Lưu Cơ 《Tống Cảnh Liên Học Sĩ Văn Tập tự》:
“Thầy không phân biệt cao thấp, đọc hết tất cả sách vở trên thế gian, rồi dùng những gì mình đã tích lũy, lớn lao mà phát biểu. Cái khí thế và vận điệu của thầy trầm hùng như quân xuất phát từ Hoài Âm, trăm trận trăm thắng, chí không chút sợ hãi.”",
大肆咆哮,dà sì páo xiào,đại tứ bào hao,,Chính phụ,Tiêu cực,Thành ngữ về tức giận,"Dùng làm vị ngữ, định ngữ; miêu tả trạng thái của con người","大肆：không chút kiêng nể；咆哮：gào thét giận dữ。
Chỉ hành động la hét, gào thét trong cơn tức giận một cách dữ dội, không kiềm chế.",,,大肆叫嚣,,"Phan Văn Lan 《Lịch sử Trung Quốc cận đại》, tập 1, chương 4:
“Tin thua trận truyền đến Anh quốc, báo chí của chính phủ và đảng phái đều gầm lên, ‘đồng loạt yêu cầu thực hiện sự báo thù đầy đủ.’”",
大肆宣传,dà sì xuān chuán,đại tứ tuyên truyền ,,Chính phụ,Tích cực,,"Dùng làm vị ngữ; áp dụng cho sự việc, hiện tượng",Ra sức tuyên truyền để mọi người đều biết.,这件丑闻经过报纸大肆宣传后，使他声望骤降，因此决定退出选举。,"Vụ bê bối này sau khi bị báo chí ra sức phanh phui đã khiến danh tiếng của anh ta tụt dốc nhanh chóng, vì thế anh ta quyết định rút khỏi cuộc bầu cử.",大肆宣扬,,"Trương Bình 《Quyết Tầm》:
“Anh ta trước đây cũng đã xem qua loại tin tức này, hình như còn có vài tờ báo và đài truyền hình đưa đây như một hiện tượng mới mẻ và tuyên truyền ầm ĩ.”",
大肆挥霍,dà sì huī huò,đại tứ huy hoắc,,Chính phụ,Tiêu cực,,"Dùng làm vị ngữ, định ngữ; chỉ việc tiêu xài hoang phí không kiểm soát","Chỉ việc tiêu tiền không có chừng mực, không tiết chế.",我们不能大肆挥霍，要注意勤俭节约。,"Chúng ta không được tiêu xài hoang phí, phải chú ý tiết kiệm và cần kiệm.",穷奢极侈、铺张浪费,,"Cao Dương 《Hồ Tuyết Nguyên Toàn Truyện · Yên Tiêu Vân Tán》:
“Mình vẫn tiếp tục phung phí, ba nghìn lượng bạc chỉ trả một món nợ tình cảm, thật sự không có chút lòng dạ nào.”",
大肆攻击,à sì gōng jī,đại tứ công kích,,Chính phụ,Tích cực,Các thành ngữ khác về lời nói,"Dùng làm vị ngữ, định ngữ, tân ngữ; chỉ hành động công kích",Dùng lời lẽ không đúng sự thật hoặc quá đáng để tấn công người khác,他大肆攻击她的时髦论调,Anh ta ra sức công kích những quan điểm hợp thời của cô ấy.,大举进攻,,,
大肆铺张,dà sì pū zhāng, đại tứ phô trương,,Chính phụ,Tiêu cực,Thành ngữ về sự xa hoa,"Dùng làm vị ngữ, định ngữ; chỉ hành vi phô trương, lãng phí một cách mù quáng","Vì hình thức bề ngoài mà bất chấp tất cả, quá mức coi trọng sự khoa trương, hào nhoáng.",他有大肆铺张的不良习惯。,"Anh ta có thói quen xấu là phô trương, tiêu xài hoang phí quá mức.",铺张浪费、铺张浪费,,"Hùng Chiêu Chính 《Trương Cư Chính》, quyển 4, hồi 25:
“Mục Tông hoàng đế mặc dù có ý tổ chức sự kiện thưởng đèn và âm nhạc, nhưng cuối cùng vì thiếu hụt ngân sách mà không thể phô trương rộng rãi.”",
大胆包身,dà dǎn bāo shēn,đại đảm bao thân,,Chính phụ,Tích cực,,"Dùng làm vị ngữ, định ngữ, trạng ngữ; dùng để chỉ cách hành xử","Chỉ sự gan dạ, táo bạo đến mức liều lĩnh.",明·无名氏《包青天奇案》第三卷：“这贼大胆包身，通贼谋财，罪该斩首。”,"(Nhà Minh – Vô danh thị, Bao Thanh Thiên kỳ án, quyển 3): “Tên cướp này gan to bằng trời, câu kết với kẻ khác mưu đoạt tài sản, tội đáng chém đầu.”",胆大包天,,"Nguyên · Vô Danh Thị 《Cách Giang Đấu Trí》, hồi 4:
“Quan Vũ hùng lược che phủ thiên hạ, Triệu Tử Long dũng mãnh xả thân.”",
大胆海口,dà dǎn hǎi kǒu,đại đảm hải khẩu,,Chính phụ,Tiêu cực,,"Dùng làm vị ngữ, tân ngữ; dùng trong cách ứng xử, đối nhân xử thế","Chỉ hành động mạnh dạn nói lời khoác lác, huênh hoang, vượt quá khả năng thực tế.",,,,,"Minh · Ngô Thành Ân 《Tây Du Ký》, hồi 89:
“Huống chi cô ở thành này đã năm đời, không phải nói lời táo bạo, cô cũng có chút danh tiếng tốt bên ngoài.”",
大腹便便,dà fù pián pián,đại phúc tiện tiện,ABCC,Liên hợp,Tiêu cực,Thành ngữ về vẻ bề ngoài,"Dùng làm vị ngữ, định ngữ; mang nghĩa chê bai, thường dùng để miêu tả quan chức hoặc người có địa vị","Miêu tả dáng vẻ mập mạp, bụng to phệ",动物园里大腹便便的企鹅非常有趣。,Những con chim cánh cụt bụng phệ ở sở thú trông rất thú vị.,满脑肥肠、心宽体胖,,"《Hậu Hán thư · Biên Sao truyện》:
“Biên Hiếu Tiên, bụng to bụng lớn.”",
大节不可夺,dà jié bù kě duó,đại tiết bất khả đoạt,,Chủ vị,Tích cực,,"Dùng làm tân ngữ, định ngữ; dùng trong cách xử thế","大节：chí khí, tiết tháo không thay đổi khi gặp nguy nan；夺：cướp đoạt, làm thay đổi
Chỉ khí tiết và nguyên tắc làm người không thể bị cưỡng ép hay lay chuyển",,,大节不夺,,"Xuân Thu · Lỗ · Khổng Chu 《Luận Ngữ · Thái Bá》:
“Khi gặp đại tiết, không thể bị cướp mất.”",
大节不夺,dà jié bù duó,đại tiết bất đoạt,,Rút gọn,Trung tính,Thành ngữ về tính cách,Dùng làm định ngữ; chỉ người có khí tiết,"大节：tiết tháo không thay đổi khi gặp nguy nan；夺：đánh mất, bị tước đoạt
Chỉ việc dù đối mặt với sống chết vẫn không thay đổi chí hướng hay nguyên tắc ban đầu",,,大节不可夺,,"《Luận Ngữ · Thái Bá》:
“Khi gặp đại tiết, không thể bị cướp mất.”",
大莫与京,dà mò yǔ jīng,đại mạc dữ kinh,,,,,,"莫：không ai；京：to lớn.
Chỉ sự to lớn đến mức không ai sánh kịp.",,,,,"《Tả Truyền · Trang Công năm thứ 22》:
“Tám đời sau, không ai sánh kịp với Kinh.”",
大获全胜,dà huò quán shèng,đại hoạch toàn thắng,,Động tân,Trung tính,Thành ngữ về thành công,Dùng làm vị ngữ; chỉ việc giành chiến thắng hoàn toàn,"获：bắt giữ tù binh, chiếm được chiến lợi phẩm；全：toàn bộ.
Chỉ đạt được thắng lợi trọn vẹn, toàn diện.",这次足球比赛，我省代表队大获全胜，载誉归来。,"Trong trận bóng lần này, đội tuyển tỉnh ta đã giành thắng lợi vẻ vang và trở về với đầy vinh dự.",胜利而归,,"Minh · Lô Quán Trung 《Tam Quốc Diễn Nghĩa》, hồi 36:
“Huyện Đức đại thắng toàn thắng, dẫn quân vào Phàn Thành, huyện lệnh Lưu Bí xuất hiện.”",
大行大市,dà háng dà shì, đại hành đại thị ,ABAC,Liên hợp,Tích cực,,"Dùng làm tân ngữ, định ngữ; thường dùng trong khẩu ngữ",Chỉ giá thị trường phổ biến của hàng hóa.,贵啥子？大行大市的。（周克芹《许茂和他的女儿们》第五章）,Đắt gì chứ? Giá thị trường phổ biến thôi mà.,,,"Chu Khắc Thanh 《Hứa Mậu và Các Con Gái Của Ông》, chương 5:
“Quý gì đâu? Làm ăn lớn, buôn bán lớn mà thôi.”",
大衍之数,dà yǎn zhī shǔ,đại diễn chi số,,Chính phụ,Tích cực,,Dùng làm tân ngữ; chỉ con số năm mươi,"大：con số lớn；衍：diễn, suy diễn；大衍：chỉ việc dùng số lớn để diễn giải quẻ trong Kinh Dịch
“Đại diễn” là thuật ngữ trong Kinh Dịch, dùng để chỉ con số 50 – số dùng để diễn quẻ.",,,,,"《Chu Dịch · Hệ từ》:
“Đại diên chi số năm mươi.”
(Số lượng của Đại Diên là năm mươi.)
",
大街小巷,dà jiē xiǎo xiàng,đại nhai tiểu hạng,,Liên hợp,Tích cực,,"Dùng làm chủ ngữ, định ngữ, tân ngữ; thường đi kèm với từ chỉ phương hướng","Chỉ các con đường, ngõ ngách trong thành phố, nói chung là khắp mọi nơi trong đô thị.",中国举办亚运会的消息很快在大街小巷传开了。,Tin Trung Quốc đăng cai Á vận hội nhanh chóng lan truyền khắp hang cùng ngõ hẻm.,街头巷尾、四面八方,,"Minh · Thi Nại Am 《Thủy Hử Toàn Truyện》, hồi 66:
“Ngày 15 tháng Giêng, Tết Nguyên Tiêu, trời thật đẹp và trong sáng, lúc hoàng hôn trăng lên, sáu con phố ba chợ, các khu phố ngõ hẻm, đều thắp đèn hoa, thả đèn, đường lớn ngõ nhỏ đâu đâu cũng có lễ hội xã.”",
大衾长枕,dà qīn cháng zhěn,đại khâm trường chẩm,,Liên hợp,Tích cực,Thành ngữ về thân thích ruột thịt,"Dùng làm vị ngữ, tân ngữ, định ngữ; ví von tình cảm anh em thân thiết","衾：chăn, 被：mền, chăn lớn.
Cùng tựa chung một chiếc gối dài, đắp chung một tấm chăn lớn – ban đầu miêu tả tình nghĩa vợ chồng, về sau được dùng để ví tình cảm gắn bó, hòa thuận giữa anh em.",,,长枕大衾,,"《Tân Đường Thư · Nhượng Hoàng Đế Hiến Truyện》:
“Hoàng Tông làm Thái Tử, từng chế tạo chăn lớn gối dài, định chia sẻ cùng các vương.”",
大言不惭,dà yán bù cán, đại ngôn bất tàm,,Rút gọn,Tiêu cực,Thành ngữ về lời nói khoác,"Dùng làm vị ngữ, định ngữ, trạng ngữ; mang nghĩa chê bai",Nói khoác mà không thấy xấu hổ.,严知孝听他这个得意的学生大言不惭的说着，脸上的愁闷就散开了。（梁斌《红旗谱》四二）,"Nghiêm Tri Hiếu nghe cậu học trò đắc ý của mình nói khoác không biết ngượng, nét u sầu trên mặt cũng dần tan biến.",大吹大擂、自卖自夸、出言不逊,,"《Luận Ngữ · Hiến Vấn》:
“Con nói: ‘Lời nói mà không cảm thấy xấu hổ, thì làm việc ấy sẽ khó.’”

Tống · Chu Hy chú giải:
“Lời nói lớn mà không thấy xấu hổ, thì không có quyết tâm nhất định để thực hiện, lại không tự đánh giá khả năng của mình có thể làm được hay không. Muốn thực hiện lời nói ấy, sao lại khó chứ!”",
大言欺人,dà yán qī rén,đại ngôn khi nhân,,Chủ vị,Tích cực,Thành ngữ về lời nói khoác,"Dùng làm tân ngữ, định ngữ; chỉ hành vi lừa dối","大言：lời nói phóng đại, khoác lác.
Chỉ việc dùng lời lẽ khoa trương để lừa gạt người khác.",你不要以大言欺人,Anh đừng dùng lời lẽ khoác lác để lừa người khác.,,,"Minh · Lô Quán Trung 《Tam Quốc Diễn Nghĩa》, hồi 43:
“Quân thua ở Đương Dương, kế hết ở Hạ Khẩu, một mực cầu cứu người, mà còn nói ‘không sợ’, đây quả thật là lời nói lớn lừa dối người.”",
大言相骇,dà yán xiāng hài,đại ngôn tương hãi,,Chủ vị,Tích cực,Thành ngữ về lời nói khoác,"Dùng làm vị ngữ, tân ngữ; dùng trong cách xử thế","Chỉ việc dùng lời lẽ khoác lác để hù dọa, làm người khác hoảng sợ.",,,,,"Minh · Tôn Nhân Nhữ 《Đông Quách Ký · Ngô Tương Kiến Lương Nhân Chi Sở Dã》:
“Hắn liếc nhìn ta như đứa trẻ sơ sinh, lời nói lớn khiến người kinh ngạc.”",
大计小用,dà jì xiǎo yòng,đại kế tiểu dụng,,Liên hợp,Tích cực,Thành ngữ về mưu tính,Dùng làm tân ngữ; chỉ việc sử dụng không đúng cách,"Kế sách dùng cho việc lớn nhưng lại áp dụng vào việc nhỏ, khiến nó không phát huy được hết tác dụng.",,,大材小用,,"Minh · Lô Quán Trung 《Tam Quốc Diễn Nghĩa》, hồi 97:
“Khổng Minh suốt đêm điều quân, thật sự ra khỏi Qí Sơn, dựng trại trước, thu quân lại, trọng thưởng cho Giang Vi. Vi nói: ‘Tôi hận không thể giết Cao Trân!’ Khổng Minh cũng nói: ‘Tiếc là đại kế lại dùng ít thế.’”",
大请大受,dà qǐng dà shòu,đại thỉnh đại thụ,ABAC,Liên hợp,Tích cực,,"Dùng làm vị ngữ, tân ngữ; dùng để chỉ đãi ngộ","Chỉ sự đối đãi hậu hĩnh, xa hoa.",我又不是杨老佛、杨奶奶，你有本事到他那里，享用他大请大受，缠我怎的？★《平妖传》第七回,"Tôi đâu phải là lão phật gia Dương hay bà Dương gì đó, anh có bản lĩnh thì đến chỗ họ mà hưởng đại tiệc đãi ngộ, bám lấy tôi làm gì?",,,"《Thủy Hử Truyện》, hồi 7:
“Hắn hiện giờ dưới trướng nghe lệnh, được mời ăn uống, sao dám chống lại Thái Uy?”",
大谋不谋,dà móu bù móu,đại mưu bất mưu ,ABCB,Rút gọn,Tích cực,Các thành ngữ khác về mưu lược,"Dùng làm tân ngữ, định ngữ; dùng để miêu tả con người",Người có mưu lược sâu xa thì bề ngoài lại như không có mưu lược.,,,大智若愚,,"《Lục Tao · Vũ Tao · Phát Khải》:
“Đại mưu không mưu, đại dũng không dũng.”",
大谬不然,dà miù bù rán,đại mậu bất nhiên ,,Chính phụ,Tiêu cực,Thành ngữ về tội lỗi,"Dùng làm vị ngữ, tân ngữ; dùng trong văn viết","谬：sai lầm, vô lý；然：như vậy.
Chỉ sai lầm nghiêm trọng, hoàn toàn không đúng.",从表面看，似乎既称红军，就可以不要党代表了，实在大谬不然。（《毛泽东选集 井岗山的斗争》）,"Nhìn bề ngoài thì có vẻ như đã gọi là Hồng quân thì không cần đại biểu Đảng nữa, thực ra hoàn toàn sai lầm.",大错特错、荒谬绝伦、荒诞不经,,"Hán · Tư Mã Thiên 《Báo Nhậm Thiếu Khinh thư》:
“Mà việc lại có sai lầm lớn, không phải như vậy.”",
